    save_loss_c   save_loss_r     save_loss
0      2.486844  21225.531250  10614.008789
1      1.618729    128.310257     64.964493
2      1.618729     93.464111     47.541420
3      1.618729    171.428223     86.523476
4      1.618729    129.935028     65.776878
5      1.618729     94.786865     48.202797
6      1.618729     93.787071     47.702900
7      1.618729     63.919861     32.769295
8      1.618729     71.479156     36.548943
9      1.618729     83.950500     42.784615
10     1.618729     79.461342     40.540035
11     1.618729     58.014450     29.816589
12     1.618729     57.823418     29.721073
13     1.618729     49.347851     25.483290
14     1.618729     55.182964     28.400846
15     1.618729     54.113232     27.865980
16     1.618729     62.130455     31.874592
17     1.618729     44.430687     23.024708
18     1.618729     37.933350     19.776039
19     1.618729     51.254654     26.436691
20     1.618729     35.966091     18.792410
21     1.618729     41.528297     21.573513
22     1.618729     36.382118     19.000423
23     1.618729     40.578815     21.098772
24     1.618729     40.267769     20.943249
25     1.618729     51.395355     26.507042
26     1.618729     34.844460     18.231594
27     1.618729     35.181023     18.399876
28     1.618729     38.477264     20.047997
29     1.618729     52.325481     26.972105
30     1.618729     35.293472     18.456100
31     1.618729     39.420212     20.519470
32     1.618729     24.925924     13.272326
33     1.618729     36.617744     19.118237
34     1.618729     37.019878     19.319304
35     1.618729     44.305840     22.962284
36     1.618729     39.887077     20.752903
37     1.618729     34.047604     17.833166
38     1.618729     46.508423     24.063576
39     1.618729     40.883713     21.251221
40     1.618729     37.618465     19.618597
41     1.618729     42.859142     22.238935
42     1.618729     37.219322     19.419025
43     1.618729     44.708855     23.163792
44     1.618729     36.006901     18.812815
45     1.618729     37.276520     19.447624
46     1.618729     42.292175     21.955452
47     1.618729     39.000957     20.309843
48     1.618729     46.647003     24.132866
49     1.618729     43.688644     22.653687
50     1.618729     36.022614     18.820671
51     1.618729     34.388206     18.003468
52     1.618729     30.821943     16.220337
53     1.618729     33.423775     17.521252
54     1.618729     34.222965     17.920847
55     1.618729     39.705116     20.661922
56     1.618729     29.408772     15.513750
57     1.618729     39.399075     20.508902
58     1.618729     37.662071     19.640400
59     1.618729     35.046410     18.332569
60     1.618729     32.339035     16.978882
61     1.618729     34.501190     18.059959
62     1.618729     43.597713     22.608221
63     1.618729     39.802601     20.710665
64     1.618729     33.900127     17.759428
65     1.618729     34.438641     18.028685
66     1.618729     36.176682     18.897705
67     1.618729     31.092083     16.355406
68     1.618729     56.704407     29.161568
69     1.618729     37.808678     19.713703
70     1.618729     31.827940     16.723335
71     1.618729     39.280209     20.449469
72     1.618729     29.742992     15.680861
73     1.618729     49.979095     25.798912
74     1.618729     35.421227     18.519978
75     1.618729     36.068752     18.843740
76     1.618729     27.719803     14.669266
77     1.618729     27.038879     14.328804
78     1.618729     36.190262     18.904495
79     1.618729     31.405106     16.511917
80     1.618729     37.308662     19.463696
81     1.618729     35.157066     18.387897
82     1.618729     47.447289     24.533009
83     1.618729     30.399868     16.009298
84     1.618729     30.115545     15.867137
85     1.618729     28.964834     15.291781
86     1.618729     31.814587     16.716658
87     1.618729     34.830200     18.224464
88     1.618729     31.480095     16.549412
89     1.618729     32.336620     16.977674
90     1.618729     27.214544     14.416636
91     1.618729     33.142998     17.380863
92     1.618729     35.208660     18.413694
93     1.618729     31.654308     16.636518
94     1.618729     28.852295     15.235512
95     1.618729     41.959980     21.789354
96     1.618729     28.400173     15.009451
97     1.618729     35.036079     18.327404
98     1.618729     30.958303     16.288517
99     1.618729     27.013769     14.316249
