     save_loss_c   save_loss_r     save_loss
138     1.386352  3.938131e+12  1.969066e+12
139     1.386334  4.193500e+12  2.096750e+12
140     1.386321  3.707992e+12  1.853996e+12
141     1.386312  5.089288e+12  2.544644e+12
142     1.386307  3.769331e+12  1.884665e+12
143     1.386304  4.974113e+12  2.487057e+12
144     1.387534  5.035797e+12  2.517898e+12
145     1.386299  3.677348e+12  1.838674e+12
146     1.386297  5.858176e+12  2.929088e+12
147     1.386296  2.816210e+12  1.408105e+12
148     2.636735  7.512087e+12  3.756043e+12
149     1.386295  1.918865e+12  9.594326e+11
150     0.303460  7.398593e+12  3.699296e+12
151     1.386298  2.101764e+12  1.050882e+12
152     1.386297  6.876608e+12  3.438304e+12
153     1.387287  2.390007e+12  1.195004e+12
154     1.544876  6.241175e+12  3.120587e+12
155     1.386297  3.462837e+12  1.731418e+12
156     1.386343  3.980360e+12  1.990180e+12
157     1.388332  5.243888e+12  2.621944e+12
158     1.386296  1.814197e+12  9.070984e+11
159     0.633321  6.814989e+12  3.407495e+12
160     1.386296  1.623921e+12  8.119605e+11
161     1.386318  5.743546e+12  2.871773e+12
162     1.386296  3.150075e+12  1.575037e+12
163     1.404430  4.475267e+12  2.237634e+12
164     1.386296  5.249012e+12  2.624506e+12
165     1.386295  3.470429e+12  1.735214e+12
166     1.386324  6.349366e+12  3.174683e+12
167     1.386296  2.553242e+12  1.276621e+12
168     1.386296  7.562908e+12  3.781454e+12
169     1.386296  2.158184e+12  1.079092e+12
170     1.386398  6.985481e+12  3.492740e+12
171     1.392336  1.572945e+12  7.864723e+11
172     0.501494  7.094080e+12  3.547040e+12
173     1.386296  2.259486e+12  1.129743e+12
174     1.386296  6.079750e+12  3.039875e+12
175     1.386296  4.196465e+12  2.098232e+12
176     1.391078  4.860848e+12  2.430424e+12
177     1.386296  5.964640e+12  2.982320e+12
178     1.386296  5.044703e+12  2.522351e+12
179     1.386817  6.318507e+12  3.159254e+12
180     1.386296  4.101504e+12  2.050752e+12
181     1.386296  7.121705e+12  3.560853e+12
182     1.386471  5.190397e+12  2.595199e+12
183     1.386296  6.261896e+12  3.130948e+12
184     1.386415  4.387041e+12  2.193520e+12
185     1.388758  6.986005e+12  3.493003e+12
186     1.407058  3.342196e+12  1.671098e+12
187     1.386296  7.421993e+12  3.710996e+12
188     1.386296  1.951556e+12  9.757778e+11
189     1.386297  8.346321e+12  4.173161e+12
190     1.387069  1.606519e+12  8.032595e+11
191     1.386296  8.551447e+12  4.275723e+12
192     1.386296  2.261681e+12  1.130840e+12
193     1.386296  9.114267e+12  4.557133e+12
194     1.386296  2.725428e+12  1.362714e+12
195     1.520062  1.080165e+13  5.400826e+12
196     1.386296  2.172528e+12  1.086264e+12
197     1.386296  1.115157e+13  5.575783e+12
198     1.386296  1.894639e+12  9.473197e+11
199     1.386296  1.227371e+13  6.136854e+12
200     1.386296  3.231860e+12  1.615930e+12
201     1.386296  1.095971e+13  5.479856e+12
202     1.386296  9.719719e+12  4.859859e+12
203     1.387074  4.671496e+12  2.335748e+12
204     1.414038  1.319891e+13  6.599454e+12
205     1.386296  1.854165e+12  9.270827e+11
206     1.386552  1.212314e+13  6.061572e+12
207     1.386296  2.475947e+12  1.237974e+12
208     1.386296  1.234405e+13  6.172023e+12
209     1.386296  5.214167e+12  2.607083e+12
210     1.386305  9.456888e+12  4.728444e+12
211     1.386296  8.811682e+12  4.405841e+12
212     1.386296  5.786345e+12  2.893173e+12
213     1.487621  1.439013e+13  7.195066e+12
214     1.386296  2.274789e+12  1.137395e+12
215     1.386295  1.489643e+13  7.448217e+12
216     1.393033  2.498494e+12  1.249247e+12
217     1.386295  1.309056e+13  6.545282e+12
218     1.388979  4.269049e+12  2.134524e+12
219     1.386295  1.165257e+13  5.826286e+12
220     1.386295  7.612581e+12  3.806291e+12
221     1.386295  8.651452e+12  4.325726e+12
222     1.391123  6.418184e+12  3.209092e+12
223     1.386296  9.256335e+12  4.628168e+12
224     1.386429  5.651668e+12  2.825834e+12
225     1.389618  1.117104e+13  5.585520e+12
226     1.412015  2.159640e+12  1.079820e+12
227     1.386296  1.178343e+13  5.891713e+12
228     1.386295  2.884011e+12  1.442005e+12
229     1.386295  1.217065e+13  6.085323e+12
230     1.391534  6.305465e+12  3.152732e+12
231     1.386295  7.806882e+12  3.903441e+12
232     1.386621  9.759945e+12  4.879973e+12
233     1.386295  4.549402e+12  2.274701e+12
234     1.386295  1.281962e+13  6.409808e+12
235     1.391003  2.828158e+12  1.414079e+12
236     0.668195  1.426651e+13  7.133256e+12
237     1.386454  2.066001e+12  1.033000e+12
238     0.521665  1.413621e+13  7.068106e+12
239     1.386295  2.699249e+12  1.349625e+12
240     0.356869  1.321463e+13  6.607314e+12
241     1.386295  6.204455e+12  3.102227e+12
242     1.386338  5.900777e+12  2.950388e+12
243     1.386300  1.143369e+13  5.716847e+12
244     1.394762  2.371291e+12  1.185646e+12
245     1.386294  1.246738e+13  6.233692e+12
246     1.386294  4.894801e+12  2.447401e+12
247     1.386307  7.285983e+12  3.642992e+12
248     1.386509  1.081414e+13  5.407070e+12
249     1.399189  2.261146e+12  1.130573e+12
250     1.386294  1.158276e+13  5.791380e+12
251     1.386294  6.092205e+12  3.046102e+12
252     1.386294  8.285035e+12  4.142518e+12
253     1.386418  1.156718e+13  5.783592e+12
254     1.393215  3.273101e+12  1.636551e+12
255     1.386294  1.413364e+13  7.066821e+12
256     1.386294  2.410296e+12  1.205148e+12
257     1.386333  1.222828e+13  6.114140e+12
